OBJECTID *,SHAPE *,Fire ID,Fire Year,Decade,Fire Number,Fire District,Area (ha) of full polygon,Perimeter Source,Drafting Method,Comments,SHAPE_Length,SHAPE_Area (within inventory region only)
54,Polygon Z,2004DA034,2004,2000,34,Dawson,0,LandSAT,"Multi-Acquisition Fire Mapping System (MAFiMS)",Updated 2025 from NBAC,20155.19103,4382780.254
58,Polygon Z,2004DA040,2004,2000,40,Dawson,15.196547,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),location updated using NBAC or require an ignition point,1630.232183,151965.4653
67,Polygon Z,2004DA033,2004,2000,33,Dawson,1058.78213,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,24969.01863,9726090.798
110,Polygon Z,2004DA027,2004,2000,27,Dawson,991.33021,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,14537.11229,9913302.141
121,Polygon Z,2004DA030,2004,2000,30,Dawson,17383.23997,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,139398.866,117546569.1
135,Polygon Z,2004DA041,2004,2000,41,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,4958.181183,763114.9696
138,Polygon Z,2004DA019,2004,2000,19,Dawson,13373.30764,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,214183.3936,133733076.4
144,Polygon Z,2004DA037,2004,2000,37,Dawson,16.694316,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source,location updated using NBAC or require an ignition point,1605.664738,166943.1648
165,Polygon Z,2004DA012,2004,2000,12,Dawson,23587.84787,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,283690.8625,235019360.7
177,Polygon Z,2004DA029,2004,2000,29,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,418476.5362,245490822.1
181,Polygon Z,2004DA028,2004,2000,28,Dawson,10155.88936,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,84929.98422,64620930.66
185,Polygon Z,2004DA016,2004,2000,16,Dawson,3380.1032,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,45271.07057,33801031.99
2,Polygon Z,2005DA019,2005,2000,19,Dawson,58528.55828,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,129428.6236,57257739.57
52,Polygon Z,2005DA020,2005,2000,20,Dawson,10.494401,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source,location updated using NBAC or require an ignition point,1570.536531,104944.006
140,Polygon Z,2005DA014,2005,2000,14,Dawson,7.09076,LandSAT,C2C,location updated using NBAC or require an ignition point,1124.855849,70907.59528
149,Polygon Z,2005DA013,2005,2000,13,Dawson,26907.59027,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,255353.3157,231907190.4
45,Polygon Z,2006DA012,2006,2000,12,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,267176.5168,88930068.8
97,Polygon Z,2006DA011,2006,2000,11,Dawson,26.41975,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,2819.92822,264197.4544
187,Polygon Z,2006DA013,2006,2000,13,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,15180.4287,4597990.408
7,Polygon Z,2007DA010,2007,2000,10,Dawson,0,LandSAT,C2C,Updated 2025 from NBAC,71276.1158,9481992.382
68,Polygon Z,2007DA014,2007,2000,14,Dawson,99.72022,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,6298.399166,997202.1882
89,Polygon Z,2007DA008,2007,2000,8,Dawson,30.33334,GPS Trace,GPS: Heliborne Trace, ,2305.525331,303333.3889
129,Polygon Z,2007DA036,2007,2000,36,Dawson,9.13558,30m LandSAT 5 Satellite Imagery,Digitize: Tablet Digital Source, ,1361.273857,91355.77086
186,Polygon Z,2007DA028,2007,2000,28,Dawson,4.060588,LandSAT,C2C,location updated using NBAC or require an ignition point,931.100482,40605.87439
125,Polygon Z,2009DA017,2009,2000,17,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,210544.7266,111490709.9
146,Polygon Z,2009DA019,2009,2000,19,Dawson,8.41516,30m LandSAT 5 Satellite Imagery,Digitize: Heads-up, ,1424.679297,84151.58178
154,Polygon Z,2009DA016,2009,2000,16,Dawson,6898.390207,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),location updated using NBAC or require an ignition point,186337.4726,68983902.07
190,Polygon Z,2009DA001,2009,2000,1,Dawson,0,LandSAT,Multi-Acquisition Fire Mapping System (MAFiMS),Updated 2025 from NBAC,341865.1737,129770911.7
16,Polygon Z,2010DA005,2010,2010,5,Dawson,276.68091,30m LandSAT 5 Satellite Imagery,Digitize: Heads-up, ,14410.44359,2766809.12
